Algoritmo,Alineamiento.Tiempo,Alineamiento.Score,Alineamiento.Long,Num,Test_Name
Simulated Annealing,3223.169638633728,3.0,40,30,DataPrueba_2111
ClustalW,0.14402365684509277,2.8636363636363638,66,30,DataPrueba_2111
Simulated Annealing,3606.3007526397705,3.0,40,30,DataPrueba_2111
Simulated Annealing,3657.3555026054382,2.975,40,30,DataPrueba_2111
ClustalW,0.20275449752807617,2.8636363636363638,66,30,DataPrueba_2111
ClustalW,0.13783812522888184,2.8636363636363638,66,30,DataPrueba_2111
ClustalW,0.14914560317993164,2.8636363636363638,66,30,DataPrueba_2111
ClustalW,0.15061330795288086,2.8636363636363638,66,30,DataPrueba_2111
ClustalW,0.17787408828735352,2.8636363636363638,66,30,DataPrueba_2111
Simulated Annealing,3527.028524875641,3.0,40,30,DataPrueba_2111
ClustalW,0.15084004402160645,2.8636363636363638,66,30,DataPrueba_2111
ClustalW,0.1858828067779541,2.8636363636363638,66,30,DataPrueba_2111
ClustalW,0.20829439163208008,2.8636363636363638,66,30,DataPrueba_2111
Simulated Annealing,3723.3560087680817,3.0,40,30,DataPrueba_2111
ClustalW,0.14336872100830078,2.8636363636363638,66,30,DataPrueba_2111
ClustalW,0.17697453498840332,2.8636363636363638,66,30,DataPrueba_2111
Simulated Annealing,4128.362045288086,3.0,40,35,DataPrueba_2111
ClustalW,0.19728803634643555,3.0,66,35,DataPrueba_2111
Simulated Annealing,3985.8969655036926,3.0,40,35,DataPrueba_2111
ClustalW,0.17192363739013672,3.0,66,35,DataPrueba_2111
ClustalW,0.20453691482543945,3.0,66,35,DataPrueba_2111
ClustalW,0.19424223899841309,3.0,66,35,DataPrueba_2111
ClustalW,0.17534089088439941,3.0,66,35,DataPrueba_2111
ClustalW,0.18738675117492676,3.0,66,35,DataPrueba_2111
Simulated Annealing,3604.37557053566,3.0,40,35,DataPrueba_2111
ClustalW,0.21377182006835938,3.0,66,35,DataPrueba_2111
ClustalW,0.18504738807678223,3.0,66,35,DataPrueba_2111
ClustalW,0.22901105880737305,3.0,66,35,DataPrueba_2111
ClustalW,0.21801066398620605,3.0,66,35,DataPrueba_2111
ClustalW,0.23187041282653809,3.0,66,35,DataPrueba_2111
Simulated Annealing,3689.5039303302765,3.0,40,35,DataPrueba_2111
ClustalW,0.18557095527648926,3.0,66,35,DataPrueba_2111
Simulated Annealing,3993.7705631256104,3.0,40,35,DataPrueba_2111
Simulated Annealing,3281.200352907181,3.0,40,35,DataPrueba_2111
ClustalW,0.15836644172668457,3.0,66,35,DataPrueba_2111
Simulated Annealing,3558.461900472641,3.0,40,35,DataPrueba_2111
ClustalW,0.2464160919189453,3.0,66,35,DataPrueba_2111
ClustalW,0.2047102451324463,3.0,66,35,DataPrueba_2111
ClustalW,0.20852351188659668,3.0,66,35,DataPrueba_2111
